Image;Hits;206 Hits;Hits combined;Bandwidth;Avg. Size
/releases/19.07.0/targets/sunxi/cortexa7/openwrt-19.07.0-sunxi-cortexa7-sun8i-h2-plus-orangepi-zero-ext4-sdcard.img.gz;45;59;104;229.62 MB;2.21 MB
/releases/18.06.1/targets/brcm2708/bcm2710/openwrt-18.06.1-brcm2708-bcm2710-rpi-3-ext4-factory.img.gz;45;519;564;372.31 MB;675.96 KB
/releases/19.07.4/targets/sunxi/cortexa8/openwrt-19.07.4-sunxi-cortexa8-sun4i-a10-cubieboard-squashfs-sdcard.img.gz;44;376;420;173.25 MB;422.41 KB
/snapshots/targets/x86/64/openwrt-x86-64-generic-squashfs-rootfs.img.gz;44;8;52;115.17 MB;2.21 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun8i-h3-nanopi-neo-ext4-sdcard.img.gz;44;36;80;184.14 MB;2.30 MB
/releases/19.07.4/targets/mediatek/mt7623/openwrt-19.07.4-mediatek-mt7623-7623a-unielec-u7623-02-emmc-512m-squashfs-sysupgrade-emmc.bin.gz;44;21;65;123.68 MB;1.90 MB
/releases/19.07.4/targets/oxnas/ox820/openwrt-19.07.4-oxnas-ox820-shuttle_kd20-squashfs-sysupgrade.tar;43;12;55;175.06 MB;3.18 MB
/releases/19.07.4/targets/omap/generic/openwrt-19.07.4-omap-ti_am335x-bone-black-squashfs-sdcard.img.gz;43;9;52;155.45 MB;2.99 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun7i-a20-lamobo-r1-ext4-sdcard.img.gz;42;60;102;209.21 MB;2.05 MB
/releases/19.07.4/targets/oxnas/ox820/openwrt-19.07.4-oxnas-ox820-mitrastar_stg-212-squashfs-sysupgrade.tar;42;9;51;168.25 MB;3.30 MB
/releases/17.01.0/targets/x86/64/lede-17.01.0-r3205-59508e3-x86-64-combined-ext4.img.gz;42;26;68;194.86 MB;2.87 MB
/releases/19.07.2/targets/x86/64/openwrt-19.07.2-x86-64-generic-rootfs.tar.gz;42;0;42;143.69 MB;3.42 MB
